t,PR1,T1,R1,PR3,T3,R3,PR2,T2,R2,PR4,T4,R4,P,E2,E1,E3,E4
1475798400,2516.43,22.073,6.023,2323.75,22.321,4.227,2474.52,21.191,7.285,2543.67,21.024,30.903,18.848,7705.18,8018.77,7791.85,7884.69
1475755200,2516.79,22.095,6.052,2324.11,22.347,4.253,2471.27,21.347,7.036,2540.58,21.118,30.543,18.9,7704.17,8017.67,7791.34,7883.52
1475712000,2517.58,22.109,6.114,2324.73,22.369,4.299,2464.62,21.617,6.528,2532.76,21.433,29.633,18.947,7703.41,8016.25,7790.07,7882.13
1475668800,2517.78,22.122,6.129,2324.7,22.394,4.297,2460.62,21.762,6.223,2529.98,21.575,29.309,18.947,7703.41,8015.58,7789.88,7881.69
1475625600,2517.27,22.142,6.09,2323.89,22.427,4.238,2461.28,21.732,6.273,2530.03,21.598,29.316,19.049,7702.75,8014.29,7788.66,7880.1
1475582400,2516.35,22.173,6.019,2322.66,22.473,4.149,2461.56,21.697,6.295,2525.98,21.828,28.845,18.898,7703.01,8013.59,7788.93,7880.33
1475539200,2514.5,22.222,5.876,2320.57,22.532,3.997,2470.21,21.375,6.956,2537.34,21.371,30.167,19.167,7700.07,8012.04,7787.53,7877.61
1475496000,2513.03,22.284,5.762,2318.97,22.601,3.881,2473.28,21.262,7.19,2535.04,21.55,29.901,19.064,7698.6,8010.94,7787.49,7877.46
1475452800,2511.3,22.358,5.629,2317.17,22.679,3.75,2479.67,21.051,7.678,2543.02,21.217,30.83,19.252,7694.74,8009.49,7786.74,7875.47
1475409600,2510.07,22.441,5.534,2315.93,22.763,3.66,2480.64,21.044,7.752,2540.15,21.369,30.496,19.163,7691.33,8007.68,7786.52,7874.77
1475366400,2508.77,22.527,5.435,2314.66,22.849,3.569,2484.95,20.944,8.08,2543.18,21.183,30.848,19.379,7686.46,8005.67,7785.51,7872.42
1475323200,2508.11,22.615,5.385,2314.1,22.934,3.529,2482.82,21.073,7.917,2537.78,21.336,30.218,19.377,7682.59,8003.89,7785.09,7871.36
1475280000,2507.69,22.697,5.354,2313.71,23.014,3.501,2483.37,21.135,7.958,2532.92,21.432,29.651,19.487,7677.93,8001.84,7784.17,7869.7
1475236800,2507.76,22.779,5.361,2313.8,23.093,3.508,2473.93,21.533,7.237,2529.12,21.529,29.208,19.482,7674.49,8000.79,7784.06,7868.91
1475193600,2507.09,22.861,5.31,2313.17,23.173,3.463,2474.13,21.588,7.251,2526.58,21.646,28.913,19.53,7670.25,7999.23,7783.74,7867.65
1475150400,2506.67,22.944,5.279,2312.87,23.251,3.442,2469.21,21.821,6.875,2528.07,21.587,29.086,19.591,7665.5,7997.94,7783.5,7866.39
1475107200,2505.94,23.015,5.224,2312.32,23.323,3.402,2473.34,21.747,7.19,2517.83,21.807,27.891,19.664,7661.06,7995.2,7782.35,7864.19
1475064000,2506.43,23.054,5.263,2312.91,23.388,3.446,2462.89,22.197,6.391,2515.87,21.834,27.662,19.758,7657.83,7994.47,7782.02,7862.87
1475020800,2506.39,22.716,5.253,2312.92,23.452,3.448,2458.25,22.427,6.036,2511.74,21.89,27.18,19.953,7653.87,7992.77,7780.9,7860.85
1474977600,2506.36,23.183,5.26,2312.91,23.514,3.447,2452.56,22.674,5.601,2496.09,22.339,25.356,19.952,7651.74,7992.03,7780.73,7860.73
1474934400,2505.49,23.248,5.193,2312.19,23.578,3.396,2456.03,22.606,5.866,2496.94,22.306,25.455,20.113,7648.58,7991.2,7780.47,7860.11
1474891200,2505.49,23.009,5.189,2312.35,23.637,3.408,2451.67,22.816,5.532,2488.85,22.466,24.511,20.193,7645.93,7990.52,7780.2,7859.4
1474848000,2505.8,23.396,5.221,2312.65,23.688,3.43,2448.83,16.804,5.376,2481.26,22.653,23.625,20.27,7643.44,7989.58,7779.91,7858.87
1474804800,2506.18,23.443,5.251,2313.08,23.736,3.462,2442.59,6.701,5.003,2474.83,22.807,22.875,20.378,7640.84,7988.76,7779.61,7858.1
1474761600,2506.31,23.486,5.262,2313.23,23.783,3.474,2439,6.717,4.73,2466.37,23.025,21.889,20.456,7638.77,7987.88,7778.95,7857.4
1474718400,2506.28,23.53,5.261,2313.18,23.83,3.47,2434.92,6.678,4.421,2465.41,23.064,21.777,20.531,7636.7,7987.6,7779.19,7857.24
1474675200,2506.01,23.574,5.24,2312.88,23.877,3.449,2434.11,6.556,4.36,2461.65,23.225,21.34,20.622,7634.31,7986.47,7778.75,7856.56
1474632000,2505.43,23.613,5.196,2312.3,23.93,3.407,2431.14,6.637,4.134,2458.17,23.413,20.935,20.544,7632.53,7986.08,7779.09,7856.78
1474588800,2504.16,23.682,5.098,2311.11,23.985,3.321,2436.58,16.919,4.444,2461.79,23.194,21.355,20.746,7629.1,7984.76,7778.46,7855.24
1474545600,2503.31,23.74,5.033,2310.47,24.041,3.275,2432.73,19.053,4.13,2458.66,23.343,20.991,20.694,7627.84,7984.54,7778.91,7855.19
1474502400,2502.76,23.795,4.991,2310.06,24.092,3.245,2437.09,23.704,4.415,2458.71,23.281,20.996,20.856,7624.05,7983.36,7778.27,7853.71
1474459200,2503.03,23.847,5.013,2310.52,24.14,3.279,2428.36,24.057,3.748,2455.45,23.435,20.617,20.818,7621.34,7983.02,7778.53,7853.79
1474416000,2503.09,23.893,5.019,2310.67,24.182,3.291,2430.09,24.058,3.88,2452.63,23.461,20.288,20.954,7617.21,7982.04,7778.02,7852.49
1474372800,2503.67,23.935,5.065,2311.43,24.219,3.346,2421.93,24.392,3.256,2453.11,23.421,20.343,20.996,7614.2,7982.13,7778.53,7852.26
1474329600,2503.9,23.932,5.083,2311.78,24.247,3.372,2422.33,24.441,3.286,2443.96,23.683,19.277,21.073,7611.36,7980.83,7777.72,7851.14
1474286400,2504.54,23.956,5.133,2312.63,24.272,3.435,2414.16,24.767,2.662,2443.48,23.688,19.221,21.101,7610.06,7981.63,7778.22,7851.2
1474243200,2504.77,23.972,5.152,2312.99,24.287,3.461,2413.03,24.843,2.575,2442.1,23.714,19.06,21.215,7608.82,7981.15,7777.66,7850.45
1474200000,2505.7,23.977,5.224,2313.96,24.296,3.532,2405.33,25.147,1.987,2439.61,23.757,18.769,21.26,7609.14,7982.03,7778.04,7850.57
1474156800,2506.12,23.981,5.257,2314.31,24.305,3.558,2401.21,25.303,1.672,2433.28,24.032,18.032,21.283,7609.04,7981.87,7777.98,7850.57
1474113600,2506.11,23.987,5.257,2314.28,24.316,3.556,2399.44,25.362,1.537,2431.8,24.095,17.86,21.26,7609.03,7982.03,7778.11,7850.81
1474070400,2505.75,23.994,5.229,2313.85,24.328,3.524,2403.94,25.218,1.881,2434.16,23.997,18.135,21.375,7608.05,7981.51,7777.65,7849.96
1474027200,2505.97,24.004,5.246,2314.02,24.342,3.537,2398.74,25.399,1.484,2431.54,24.11,17.83,21.26,7607.89,7981.86,7778.29,7850.83
1473984000,2505.09,24.016,5.178,2313.15,24.358,3.473,2405.99,25.151,2.037,2431.1,24.117,17.779,21.295,7607.36,7980.82,7777.83,7850.06
1473940800,2505.19,24.03,5.186,2313.26,24.375,3.482,2400.45,25.354,1.614,2432.41,24.08,17.931,21.226,7606.59,7981.02,7778,7850
1473897600,2504.46,24.045,5.129,2312.54,24.392,3.429,2407.21,25.127,2.13,2433.1,24.042,18.011,21.252,7605.74,7980.07,7777.58,7849.26
1473854400,2504.64,24.06,5.143,2312.77,24.408,3.446,2401.21,25.35,1.672,2431.55,24.11,17.831,21.144,7604.99,7980.09,7777.8,7849.39
1473811200,2504.27,24.075,5.115,2312.41,24.421,3.42,2406.21,25.196,2.053,2430.49,24.142,17.708,21.167,7603.69,7979.29,7777.55,7848.67
1473768000,2504.47,24.088,5.131,2312.68,24.434,3.44,2400.81,25.398,1.641,2433.74,24.015,18.086,21.164,7602.59,7979.49,7777.67,7848.45
1473724800,2504.61,24.099,5.142,2312.8,24.445,3.449,2404.18,-30.777,1.868,2428.18,24.25,17.439,21.182,7601.43,7978.43,7777.11,7847.84
